Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C5, C6",0402,3,0.1uF,
"C4, C7",0402,2,2.2uF,
J1,SD_Card_Layout,1,SD_Card,
TP1,TestPoint_Pad_D2.0mm,1,DAT0,
TP2,TestPoint_Pad_D2.0mm,1,DAT1,
TP3,TestPoint_Pad_D2.0mm,1,DAT2,
TP4,TestPoint_Pad_D2.0mm,1,DAT3,
TP5,TestPoint_Pad_D2.0mm,1,CMD,
TP6,TestPoint_Pad_D2.0mm,1,3.3V,
TP7,TestPoint_Pad_D2.0mm,1,CLK,
TP8,TestPoint_Pad_D2.0mm,1,GND,
TP9,TestPoint_Pad_D2.0mm,1,1.8V,
U1,WQFN-24-1EP_4x4mm_P0.5mm_EP2.45x2.45mm_ThermalVias,1,TXS02612RTWR,
U2,WSON-6-1EP_2x2mm_P0.65mm_EP1x1.6mm_ThermalVias,1,TPS7A1118PDRV,
